trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2021/1/19,SPF,3780.5,3789.25,32,0.85%,65,3789.25,307,202103
2021/1/19,SPF,-,-,-,-,0,3749.25,0,202203
2021/1/20,SPF,3794,3793,3.75,0.10%,14,3793,299,202103
2021/1/20,SPF,-,-,-,-,0,3753,0,202203
2021/1/21,SPF,3846,3857,64,1.69%,73,3857,312,202103
2021/1/21,SPF,-,-,-,-,0,3817,0,202203
2021/1/22,SPF,3846.25,3837.5,-19.5,-0.51%,60,3837.5,319,202103
2021/1/22,SPF,-,-,-,-,0,3797.5,0,202203
2021/1/25,SPF,3847,3850.5,13,0.34%,13,3850.5,302,202103
2021/1/25,SPF,-,-,-,-,0,3810.5,0,202203
2021/1/26,SPF,3842,3826.75,-23.75,-0.62%,43,3826.75,282,202103
2021/1/26,SPF,-,-,-,-,0,3786.75,0,202203
2021/1/27,SPF,3847,3835.5,8.75,0.23%,22,3835.5,279,202103
