trade_date,contract,open_price,close_price,change_price,change_percent,volume,settlement_price,open_interest,expiry_date
2018/6/7,SPF,2775.5,2778.5,18.25,0.66%,4,2778.5,141,201809
2018/6/8,SPF,2775.25,2771.5,-7,-0.25%,16,2771.5,149,201809
2018/6/11,SPF,2780.5,2778.75,7.25,0.26%,4,2778.75,132,201809
2018/6/12,SPF,2785,2789,10.25,0.37%,10,2789,137,201809
2018/6/13,SPF,2794,2794.5,5.5,0.20%,11,2794.5,132,201809
2018/6/14,SPF,2781.5,2777,-17.5,-0.63%,48,2777,162,201809
2018/6/15,SPF,2783.75,2788,11,0.40%,71,2788,223,201809
2018/6/19,SPF,2765,2755,-33,-1.18%,86,2755,174,201809
2018/6/19,SPF,-,-,-,-,0,2784,0,201909
2018/6/20,SPF,2766,2773.5,18.5,0.67%,16,2773.5,221,201809
2018/6/20,SPF,2765,2765,-19,-0.68%,1,2765,1,201909
2018/6/21,SPF,2775.5,2782,8.5,0.31%,56,2782,249,201809
2018/6/21,SPF,-,-,-,-,0,2773.5,1,201909
2018/6/22,SPF,2754.25,2759.75,-22.25,-0.80%,17,2759.75,254,201809
2018/6/22,SPF,-,-,-,-,0,2751.25,1,201909
2018/6/25,SPF,2746.5,2743.5,-16.25,-0.59%,123,2743.5,263,201809
2018/6/25,SPF,-,-,-,-,0,2735,1,201909
2018/6/26,SPF,2725.75,2725.5,-18,-0.66%,13,2725.5,280,201809
2018/6/26,SPF,-,-,-,-,0,2717,1,201909
2018/6/27,SPF,2731.75,2727,1.5,0.06%,15,2727,319,201809
2018/6/27,SPF,-,-,-,-,0,2718.5,1,201909
2018/6/28,SPF,2708.25,2709,-18,-0.66%,37,2709,323,201809
2018/6/28,SPF,-,-,-,-,0,2700.5,1,201909
2018/6/29,SPF,2718,2726.25,17.25,0.64%,138,2726.25,371,201809
2018/6/29,SPF,-,-,-,-,0,2717.75,1,201909
2018/7/2,SPF,2723.5,2709.25,-17,-0.62%,99,2709.25,390,201809
2018/7/2,SPF,-,-,-,-,0,2700.75,1,201909
2018/7/3,SPF,2726.5,2729,19.75,0.73%,109,2729,440,201809
2018/7/3,SPF,2732,2732,31.25,1.16%,1,2732,2,201909
2018/7/4,SPF,2713.5,2717.25,-11.75,-0.43%,4,2717.25,420,201809
2018/7/4,SPF,-,-,-,-,0,2720.25,2,201909
2018/7/5,SPF,2719.25,2715,-2.25,-0.08%,75,2715,411,201809
2018/7/5,SPF,-,-,-,-,0,2718,2,201909
